Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Moisture,Standard Deviation Moisture,Min Moisture,Max Moisture,Residual Moisture,Leverage Moisture,Ref Moisture,TW,Ref TW,Oil0%,Standard Deviation Oil0%,Min Oil0%,Max Oil0%,Residual Oil0%,Leverage Oil0%,Ref Oil0%
11/22/2024 2:15:04 PM,Rapeseed I,60073681 RA,Normal,CE106_GP_2024_SC_Gr,,Infratec,91915904,5.5,0.275,5.231,6.183,0,0,,,,46.36,0.523,45.712,47.173,0,0,
11/22/2024 2:16:51 PM,Rapeseed I,60073681 RA,Normal,CE160_GP_2024_SC_Gr,,Infratec,91915904,5.28,0.179,4.904,5.489,0,0,,,,49.85,0.427,48.974,50.39,0,0,
11/22/2024 2:18:39 PM,Rapeseed I,60073681 RA,Normal,CE177_GP_2024_SC_Gr,,Infratec,91915904,5.32,0.211,4.834,5.501,0,0,,,,49.7,0.354,48.971,50.134,0,0,
11/22/2024 2:20:35 PM,Rapeseed I,60073681 RA,Normal,CE136_GP_2024_SC_Gr,,Infratec,91915904,5.52,0.268,4.981,5.952,0,0,,,,50.92,0.519,49.82,51.665,0,0,
11/22/2024 2:22:21 PM,Rapeseed I,60073681 RA,Normal,CE105_GP_2024_SC_Gr,,Infratec,91915904,5.41,0.172,5.21,5.757,0,0,,,,40.18,0.774,39.011,41.23,0,0,
11/22/2024 2:24:09 PM,Rapeseed I,60073681 RA,Normal,CE134_GP_2024_SC_Gr,,Infratec,91915904,5.87,0.2,5.598,6.145,0,0,,,,48.46,0.536,47.934,49.631,0,0,
11/22/2024 2:25:52 PM,Rapeseed I,60073681 RA,Normal,CE104_GP_2024_SC_Gr,,Infratec,91915904,5.25,0.172,4.909,5.45,0,0,,,,48.35,0.507,47.242,48.825,0,0,
11/22/2024 2:27:29 PM,Rapeseed I,60073681 RA,Normal,CE131_GP_2024_SC_Gr,,Infratec,91915904,5.34,0.212,4.87,5.649,0,0,,,,49.99,0.638,48.857,50.844,0,0,
11/22/2024 2:29:08 PM,Rapeseed I,60073681 RA,Normal,CE163_GP_2024_SC_Gr,,Infratec,91915904,5.57,0.121,5.367,5.749,0,0,,,,50.67,0.333,50.186,51.133,0,0,
11/26/2024 11:07:53 AM,Rapeseed I,60073681 RA,Normal,CE19_GP_2024_SC_Gr,,Infratec,91915904,6.5,0.308,6.203,7.129,0,0,,,,39.56,0.941,38.316,41.752,0,0,
11/26/2024 11:09:50 AM,Rapeseed I,60073681 RA,Normal,CE95_GP_2024_SC_Gr,,Infratec,91915904,6.68,0.332,6.377,7.454,0,0,,,,43.94,0.63,42.686,45.019,0,0,
11/26/2024 11:11:29 AM,Rapeseed I,60073681 RA,Normal,CE5_GP_2024_SC_Gr,,Infratec,91915904,6.38,0.163,6.111,6.551,0,0,,,,44.68,0.401,43.884,45.141,0,0,
11/26/2024 11:13:17 AM,Rapeseed I,60073681 RA,Normal,CE9_GP_2024_SC_Gr,,Infratec,91915904,6.2,0.229,5.972,6.689,0,0,,,,44.38,0.66,42.906,45.296,0,0,
