Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Protein0%,Leverage Protein0%,Residual Protein0%,Moisture,Leverage Moisture,Residual Moisture,Starch0%,Leverage Starch0%,Residual Starch0%,Gluten0%,Leverage Gluten0%,Residual Gluten0%,Zeleny0%,Leverage Zeleny0%,Residual Zeleny0%,TW
11/6/2023 4:36:07 PM,Wheat II,60073697 WH,Normal,2A_4_Lime_N_2023_WW_Gr,,Infratec,91915904,11.67,0.00,0.00,11.13,0.00,0.00,70.74,0.00,0.00,28.54,0.00,0.00,39.80,0.00,0.00,61.48
11/6/2023 4:42:03 PM,Wheat II,60073697 WH,Normal,2B_3_Lime_O_2023_WW_Gr,,Infratec,91915904,11.55,0.00,0.00,11.28,0.00,0.00,71.69,0.00,0.00,27.80,0.00,0.00,41.09,0.00,0.00,61.88
11/6/2023 4:43:31 PM,Wheat II,60073697 WH,Normal,2B_2_Lime_O_2023_WW_Gr,,Infratec,91915904,10.88,0.00,0.00,11.39,0.00,0.00,72.68,0.00,0.00,25.21,0.00,0.00,37.92,0.00,0.00,62.92
11/6/2023 4:44:59 PM,Wheat II,60073697 WH,Normal,2B_4_Lime_O_2023_WW_Gr,,Infratec,91915904,11.71,0.00,0.00,11.30,0.00,0.00,71.48,0.00,0.00,28.71,0.00,0.00,41.38,0.00,0.00,61.24
11/6/2023 4:46:29 PM,Wheat II,60073697 WH,Normal,2B_1_Lime_O_2023_WW_Gr,,Infratec,91915904,11.03,0.00,0.00,11.77,0.00,0.00,72.45,0.00,0.00,25.65,0.00,0.00,38.62,0.00,0.00,62.47
11/6/2023 4:48:03 PM,Wheat II,60073697 WH,Normal,2B_2_Lime_N_2023_WW_Gr,,Infratec,91915904,10.03,0.00,0.00,11.31,0.00,0.00,72.87,0.00,0.00,21.86,0.00,0.00,33.64,0.00,0.00,62.02
11/6/2023 4:49:49 PM,Wheat II,60073697 WH,Normal,2B_4_Lime_N_2023_WW_Gr,,Infratec,91915904,11.49,0.00,0.00,11.22,0.00,0.00,71.56,0.00,0.00,27.82,0.00,0.00,40.35,0.00,0.00,62.05
11/6/2023 4:51:31 PM,Wheat II,60073697 WH,Normal,2B_3_Lime_N_2023_WW_Gr,,Infratec,91915904,10.84,0.00,0.00,11.16,0.00,0.00,72.17,0.00,0.00,25.51,0.00,0.00,37.39,0.00,0.00,62.00
11/6/2023 4:53:33 PM,Wheat II,60073697 WH,Normal,2B_1_Lime_N_2023_WW_Gr,,Infratec,91915904,11.25,0.00,0.00,11.25,0.00,0.00,71.90,0.00,0.00,26.86,0.00,0.00,39.53,0.00,0.00,62.07
11/6/2023 5:15:01 PM,Wheat II,60073697 WH,Normal,4A_3_Lime_O_2023_WW_Gr,,Infratec,91915904,12.06,0.00,0.00,11.33,0.00,0.00,70.90,0.00,0.00,29.45,0.00,0.00,41.75,0.00,0.00,62.14
11/6/2023 5:16:42 PM,Wheat II,60073697 WH,Normal,4A_2_Lime_O_2023_WW_Gr,,Infratec,91915904,11.66,0.00,0.00,11.34,0.00,0.00,71.31,0.00,0.00,28.24,0.00,0.00,40.90,0.00,0.00,62.57
11/6/2023 5:18:32 PM,Wheat II,60073697 WH,Normal,4A_1_Lime_O_2023_WW_Gr,,Infratec,91915904,12.85,0.00,0.00,11.54,0.00,0.00,70.12,0.00,0.00,31.67,0.00,0.00,46.79,0.00,0.00,62.65
11/6/2023 5:19:57 PM,Wheat II,60073697 WH,Normal,4A_4_Lime_O_2023_WW_Gr,,Infratec,91915904,11.35,0.00,0.00,11.07,0.00,0.00,71.66,0.00,0.00,27.51,0.00,0.00,39.76,0.00,0.00,62.41
11/6/2023 5:21:43 PM,Wheat II,60073697 WH,Normal,4A_4_Lime_N_2023_WW_Gr,,Infratec,91915904,11.42,0.00,0.00,11.31,0.00,0.00,71.55,0.00,0.00,27.83,0.00,0.00,40.65,0.00,0.00,62.21
11/6/2023 5:23:09 PM,Wheat II,60073697 WH,Normal,4A_2_Lime_N_2023_WW_Gr,,Infratec,91915904,12.78,0.00,0.00,11.52,0.00,0.00,69.99,0.00,0.00,31.44,0.00,0.00,47.29,0.00,0.00,60.77
